D:\Anaconda3\envs\pytorch-minist\python.exe D:/Projects/pytorch-minist/minist.py
using cuda...

Test set: Average loss: 2.3060, Accuracy: 1028/10000 (10.28%)
Train Epoch: 3 (64%)	Loss: 0.104168
Train Epoch: 3 (65%)	Loss: 0.102162
Train Epoch: 3 (66%)	Loss: 0.193007
Train Epoch: 3 (67%)	Loss: 0.053018
Train Epoch: 3 (68%)	Loss: 0.091240
Train Epoch: 3 (69%)	Loss: 0.088907
Train Epoch: 3 (70%)	Loss: 0.043970
Train Epoch: 3 (71%)	Loss: 0.067710
Train Epoch: 3 (72%)	Loss: 0.037256
Train Epoch: 3 (74%)	Loss: 0.017596
Train Epoch: 3 (75%)	Loss: 0.026192
Train Epoch: 3 (76%)	Loss: 0.174436
Train Epoch: 3 (77%)	Loss: 0.142619
Train Epoch: 3 (78%)	Loss: 0.014328
Train Epoch: 3 (79%)	Loss: 0.232082
Train Epoch: 3 (80%)	Loss: 0.012516
Train Epoch: 3 (81%)	Loss: 0.023872
Train Epoch: 3 (82%)	Loss: 0.009604
Train Epoch: 3 (83%)	Loss: 0.025026
Train Epoch: 3 (84%)	Loss: 0.069438
Train Epoch: 3 (85%)	Loss: 0.095382
Train Epoch: 3 (86%)	Loss: 0.013898
Train Epoch: 3 (87%)	Loss: 0.083177
Train Epoch: 3 (88%)	Loss: 0.101444
Train Epoch: 3 (90%)	Loss: 0.060346
Train Epoch: 3 (91%)	Loss: 0.048501
Train Epoch: 3 (92%)	Loss: 0.184631
Train Epoch: 3 (93%)	Loss: 0.045089
Train Epoch: 3 (94%)	Loss: 0.057537
Train Epoch: 3 (95%)	Loss: 0.112569
Train Epoch: 3 (96%)	Loss: 0.148253
Train Epoch: 3 (97%)	Loss: 0.155445
Train Epoch: 3 (98%)	Loss: 0.112604
Train Epoch: 3 (99%)	Loss: 0.048254

Test set: Average loss: 0.0462, Accuracy: 9866/10000 (98.66%)
Max accuracy: 98.66%

Train Epoch: 4 (0%)	Loss: 0.151400
Train Epoch: 4 (1%)	Loss: 0.065250
Train Epoch: 4 (2%)	Loss: 0.106026
Train Epoch: 4 (3%)	Loss: 0.033369
Train Epoch: 4 (4%)	Loss: 0.035899
Train Epoch: 4 (5%)	Loss: 0.036250
Train Epoch: 4 (6%)	Loss: 0.043002
Train Epoch: 4 (7%)	Loss: 0.192646
Train Epoch: 4 (9%)	Loss: 0.044341
Train Epoch: 4 (10%)	Loss: 0.101892
Train Epoch: 4 (11%)	Loss: 0.083770
Train Epoch: 4 (12%)	Loss: 0.034523
Train Epoch: 4 (13%)	Loss: 0.012571
Train Epoch: 4 (14%)	Loss: 0.013750
Train Epoch: 4 (15%)	Loss: 0.041993
Train Epoch: 4 (16%)	Loss: 0.090613
Train Epoch: 4 (17%)	Loss: 0.056955
Train Epoch: 4 (18%)	Loss: 0.091134
Train Epoch: 4 (19%)	Loss: 0.028056
Train Epoch: 4 (20%)	Loss: 0.012462
Train Epoch: 4 (21%)	Loss: 0.044158
Train Epoch: 4 (22%)	Loss: 0.019079
Train Epoch: 4 (23%)	Loss: 0.045362
Train Epoch: 4 (25%)	Loss: 0.051699
Train Epoch: 4 (26%)	Loss: 0.029722
Train Epoch: 4 (27%)	Loss: 0.018646
Train Epoch: 4 (28%)	Loss: 0.083281
Train Epoch: 4 (29%)	Loss: 0.097405
Train Epoch: 4 (30%)	Loss: 0.055937
Train Epoch: 4 (31%)	Loss: 0.030425
Train Epoch: 4 (32%)	Loss: 0.012301
Train Epoch: 4 (33%)	Loss: 0.022726
Train Epoch: 4 (34%)	Loss: 0.123755
Train Epoch: 4 (35%)	Loss: 0.078389
Train Epoch: 4 (36%)	Loss: 0.012687
Train Epoch: 4 (37%)	Loss: 0.025552
Train Epoch: 4 (38%)	Loss: 0.023321
Train Epoch: 4 (39%)	Loss: 0.047607
Train Epoch: 4 (41%)	Loss: 0.069391
Train Epoch: 4 (42%)	Loss: 0.009210
Train Epoch: 4 (43%)	Loss: 0.027292
Train Epoch: 4 (44%)	Loss: 0.033415
Train Epoch: 4 (45%)	Loss: 0.107720
Train Epoch: 4 (46%)	Loss: 0.012939
Train Epoch: 4 (47%)	Loss: 0.029733
Train Epoch: 4 (48%)	Loss: 0.079697
Train Epoch: 4 (49%)	Loss: 0.047980
Train Epoch: 4 (50%)	Loss: 0.040336
Train Epoch: 4 (51%)	Loss: 0.090590
Train Epoch: 4 (52%)	Loss: 0.023092
Train Epoch: 4 (53%)	Loss: 0.051794
Train Epoch: 4 (54%)	Loss: 0.024574
Train Epoch: 4 (55%)	Loss: 0.103076
Train Epoch: 4 (57%)	Loss: 0.068818
Train Epoch: 4 (58%)	Loss: 0.036538
Train Epoch: 4 (59%)	Loss: 0.053392
Train Epoch: 4 (60%)	Loss: 0.007585
Train Epoch: 4 (61%)	Loss: 0.034245
Train Epoch: 4 (62%)	Loss: 0.015799
Train Epoch: 4 (63%)	Loss: 0.035169
Train Epoch: 4 (64%)	Loss: 0.125975
Train Epoch: 4 (65%)	Loss: 0.051698
Train Epoch: 4 (66%)	Loss: 0.048553
Train Epoch: 4 (67%)	Loss: 0.135856
Train Epoch: 4 (68%)	Loss: 0.100025
Train Epoch: 4 (69%)	Loss: 0.077761
Train Epoch: 4 (70%)	Loss: 0.105652
Train Epoch: 4 (71%)	Loss: 0.122452
Train Epoch: 4 (72%)	Loss: 0.063556
Train Epoch: 4 (74%)	Loss: 0.077464
Train Epoch: 4 (75%)	Loss: 0.016831
Train Epoch: 4 (76%)	Loss: 0.042702
Train Epoch: 4 (77%)	Loss: 0.049961
Train Epoch: 4 (78%)	Loss: 0.047836
Train Epoch: 4 (79%)	Loss: 0.038894
Train Epoch: 4 (80%)	Loss: 0.028393
Train Epoch: 4 (81%)	Loss: 0.017952
Train Epoch: 4 (82%)	Loss: 0.047295
Train Epoch: 4 (83%)	Loss: 0.031630
Train Epoch: 4 (84%)	Loss: 0.030826
Train Epoch: 4 (85%)	Loss: 0.066391
Train Epoch: 4 (86%)	Loss: 0.020612
Train Epoch: 4 (87%)	Loss: 0.041662
Train Epoch: 4 (88%)	Loss: 0.051508
Train Epoch: 4 (90%)	Loss: 0.075385
Train Epoch: 4 (91%)	Loss: 0.012589
Train Epoch: 4 (92%)	Loss: 0.070589
Train Epoch: 4 (93%)	Loss: 0.033214
Train Epoch: 4 (94%)	Loss: 0.086590
Train Epoch: 4 (95%)	Loss: 0.015634
Train Epoch: 4 (96%)	Loss: 0.057698
Train Epoch: 4 (97%)	Loss: 0.068646
Train Epoch: 4 (98%)	Loss: 0.066279
Train Epoch: 4 (99%)	Loss: 0.035804

Test set: Average loss: 0.0383, Accuracy: 9870/10000 (98.70%)
Max accuracy: 98.70%

Train Epoch: 5 (0%)	Loss: 0.024430
Train Epoch: 5 (1%)	Loss: 0.049912
Train Epoch: 5 (2%)	Loss: 0.107460
Train Epoch: 5 (3%)	Loss: 0.025638
Train Epoch: 5 (4%)	Loss: 0.052229
Train Epoch: 5 (5%)	Loss: 0.050818
Train Epoch: 5 (6%)	Loss: 0.050972
Train Epoch: 5 (7%)	Loss: 0.097599
Train Epoch: 5 (9%)	Loss: 0.054126
Train Epoch: 5 (10%)	Loss: 0.031784
Train Epoch: 5 (11%)	Loss: 0.043697
Train Epoch: 5 (12%)	Loss: 0.020915
Train Epoch: 5 (13%)	Loss: 0.022208
Train Epoch: 5 (14%)	Loss: 0.011471
Train Epoch: 5 (15%)	Loss: 0.042559
Train Epoch: 5 (16%)	Loss: 0.012182
Train Epoch: 5 (17%)	Loss: 0.009402
Train Epoch: 5 (18%)	Loss: 0.022144
Train Epoch: 5 (19%)	Loss: 0.109652
Train Epoch: 5 (20%)	Loss: 0.065749
Train Epoch: 5 (21%)	Loss: 0.044951
Train Epoch: 5 (22%)	Loss: 0.033707
Train Epoch: 5 (23%)	Loss: 0.082807
Train Epoch: 5 (25%)	Loss: 0.015083
Train Epoch: 5 (26%)	Loss: 0.051399
Train Epoch: 5 (27%)	Loss: 0.019009
Train Epoch: 5 (28%)	Loss: 0.091305
Train Epoch: 5 (29%)	Loss: 0.024622
Train Epoch: 5 (30%)	Loss: 0.096524
Train Epoch: 5 (31%)	Loss: 0.066618
Train Epoch: 5 (32%)	Loss: 0.023118
Train Epoch: 5 (33%)	Loss: 0.127738
Train Epoch: 5 (34%)	Loss: 0.113114
Train Epoch: 5 (35%)	Loss: 0.008574
Train Epoch: 5 (36%)	Loss: 0.030453
Train Epoch: 5 (37%)	Loss: 0.013705
Train Epoch: 5 (38%)	Loss: 0.011718
Train Epoch: 5 (39%)	Loss: 0.007925
Train Epoch: 5 (41%)	Loss: 0.040053
Train Epoch: 5 (42%)	Loss: 0.088178
Train Epoch: 5 (43%)	Loss: 0.055408
Train Epoch: 5 (44%)	Loss: 0.028001
Train Epoch: 5 (45%)	Loss: 0.023772
Train Epoch: 5 (46%)	Loss: 0.014160
Train Epoch: 5 (47%)	Loss: 0.018307
Train Epoch: 5 (48%)	Loss: 0.011314
Train Epoch: 5 (49%)	Loss: 0.009770
Train Epoch: 5 (50%)	Loss: 0.056662
Train Epoch: 5 (51%)	Loss: 0.032724
Train Epoch: 5 (52%)	Loss: 0.054376
Train Epoch: 5 (53%)	Loss: 0.017021
Train Epoch: 5 (54%)	Loss: 0.059546
Train Epoch: 5 (55%)	Loss: 0.087185
Train Epoch: 5 (57%)	Loss: 0.046291
Train Epoch: 5 (58%)	Loss: 0.068171
Train Epoch: 5 (59%)	Loss: 0.207696
Train Epoch: 5 (60%)	Loss: 0.230810
Train Epoch: 5 (61%)	Loss: 0.037519
Train Epoch: 5 (62%)	Loss: 0.081715
Train Epoch: 5 (63%)	Loss: 0.026383
Train Epoch: 5 (64%)	Loss: 0.053559
Train Epoch: 5 (65%)	Loss: 0.021901
Train Epoch: 5 (66%)	Loss: 0.031355
Train Epoch: 5 (67%)	Loss: 0.099758
Train Epoch: 5 (68%)	Loss: 0.031298
Train Epoch: 5 (69%)	Loss: 0.017864
Train Epoch: 5 (70%)	Loss: 0.011313
Train Epoch: 5 (71%)	Loss: 0.038361
Train Epoch: 5 (72%)	Loss: 0.025159
Train Epoch: 5 (74%)	Loss: 0.102093
Train Epoch: 5 (75%)	Loss: 0.060317
Train Epoch: 5 (76%)	Loss: 0.013904
Train Epoch: 5 (77%)	Loss: 0.021340
Train Epoch: 5 (78%)	Loss: 0.313492
Train Epoch: 5 (79%)	Loss: 0.008398
Train Epoch: 5 (80%)	Loss: 0.061923
Train Epoch: 5 (81%)	Loss: 0.027030
Train Epoch: 5 (82%)	Loss: 0.023747
Train Epoch: 5 (83%)	Loss: 0.010635
Train Epoch: 5 (84%)	Loss: 0.023122
Train Epoch: 5 (85%)	Loss: 0.007157
Train Epoch: 5 (86%)	Loss: 0.047213
Train Epoch: 5 (87%)	Loss: 0.015708
Train Epoch: 5 (88%)	Loss: 0.017574
Train Epoch: 5 (90%)	Loss: 0.100934
Train Epoch: 5 (91%)	Loss: 0.025892
Train Epoch: 5 (92%)	Loss: 0.034963
Train Epoch: 5 (93%)	Loss: 0.022154
Train Epoch: 5 (94%)	Loss: 0.016928
Train Epoch: 5 (95%)	Loss: 0.122439
Train Epoch: 5 (96%)	Loss: 0.012018
Train Epoch: 5 (97%)	Loss: 0.038536
Train Epoch: 5 (98%)	Loss: 0.049662
Train Epoch: 5 (99%)	Loss: 0.164686

Test set: Average loss: 0.0428, Accuracy: 9853/10000 (98.53%)
Max accuracy: 98.70%

Train Epoch: 6 (0%)	Loss: 0.025306
Train Epoch: 6 (1%)	Loss: 0.122763
Train Epoch: 6 (2%)	Loss: 0.062550
Train Epoch: 6 (3%)	Loss: 0.033948
Train Epoch: 6 (4%)	Loss: 0.061160
Train Epoch: 6 (5%)	Loss: 0.052287
Train Epoch: 6 (6%)	Loss: 0.048073
Train Epoch: 6 (7%)	Loss: 0.049327
Train Epoch: 6 (9%)	Loss: 0.042026
Train Epoch: 6 (10%)	Loss: 0.074486
Train Epoch: 6 (11%)	Loss: 0.043143
Train Epoch: 6 (12%)	Loss: 0.026598
Train Epoch: 6 (13%)	Loss: 0.172312
Train Epoch: 6 (14%)	Loss: 0.009878
Train Epoch: 6 (15%)	Loss: 0.126307
Train Epoch: 6 (16%)	Loss: 0.032950
Train Epoch: 6 (17%)	Loss: 0.011778
Train Epoch: 6 (18%)	Loss: 0.042688
Train Epoch: 6 (19%)	Loss: 0.090022
Train Epoch: 6 (20%)	Loss: 0.100323
Train Epoch: 6 (21%)	Loss: 0.050608
Train Epoch: 6 (22%)	Loss: 0.086017
Train Epoch: 6 (23%)	Loss: 0.020763
Train Epoch: 6 (25%)	Loss: 0.045087
Train Epoch: 6 (26%)	Loss: 0.082703
Train Epoch: 6 (27%)	Loss: 0.012797
Train Epoch: 6 (28%)	Loss: 0.082383
Train Epoch: 6 (29%)	Loss: 0.129259
Train Epoch: 6 (30%)	Loss: 0.010168
Train Epoch: 6 (31%)	Loss: 0.075421
Train Epoch: 6 (32%)	Loss: 0.114083
Train Epoch: 6 (33%)	Loss: 0.023225
Train Epoch: 6 (34%)	Loss: 0.048256
Train Epoch: 6 (35%)	Loss: 0.007787
Train Epoch: 6 (36%)	Loss: 0.022999
Train Epoch: 6 (37%)	Loss: 0.052219
Train Epoch: 6 (38%)	Loss: 0.071802
